lexeme;definition
amama;huile odoriférante
'āinu;appât
vīrau;germe de noix de coco
tehea;quel, quelle, lequel, la
paoho;rire bruyant
ririu;être perplexe, embarrassé
inaha;voici, voici que
fetau;lutter, combattre
māunu;appât
matau;droit
'āvae;jambe et pied
pā'au;écumer
haere;aller, partir
peata;saint
iri'ō;recroquevillé
mai'a;banane
pī'ao;maigre
tu'ua;ne pas arrêter
'Ātia;Asie
rā ua;jour de pluie
māu'a;gaspillage, ruine
uitiē;huissier
mo'oi;maniable, portable
pāuri;noir, sombre, violacé
pinea;être rare, être épuisé
tīpae;panier à poissons
'āmae;bois de rose
māhie;se développer, croître
pāota;tasse
araoa;orbite de l'oeil
tī'ue;méthode pour jeter un filet de pêche
tīfai;pièce de tissu pour rapiécer un vêtement
'ūfao;perceuse (instrument)
'ōtau;racines aériennes du banian
mamia;être brûlé
toiau;lourd, chargé
tīpia;tibia
atatu;état d'agitation
māore;variété d'arbre à pain
pirau;pus
tīehi;chasser
'iore;souris, rat
'ōu'a;sauter, bondir
avere;coiffe d'un bonnet
tūo'o;rabougri
hihiu;sauvage, timide
paana;vigoureux, fort
pīere;bananes séchées
pua'a;cochon
aoroa;firmament résidence du dieu
'ōpua;projeter, décider
pūava;fond d'une passe
'ōivi;corps, cadavre
vaoru;idée fixe, obsession
anuhe;fougère
reroa;figure de proue
taira;corde, fil, ficelle
firia;accord, agrément
tīaro;laver ou nettoyer les yeux
haioa;variété de plantain
aropa;erreur
fafau;attacher
raita;laïque, laïc
tūaru;bannir, poursuivre
